               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.090123,             0.16352,            0.036691,              0.5052,            0.094961,            0.020231,           0.0047842,            0.087594,             0.11827,            0.038455,           0.0088714,           0.0088714,           0.0088714
                  59,            0.090819,             0.14821,            0.038074,            0.012437,             0.29896,            0.048462,            0.010306,            0.080883,             0.11354,            0.037355,           0.0088516,           0.0088516,           0.0088516
                  60,             0.08893,             0.15592,            0.036264,           0.0077812,             0.23695,            0.015075,           0.0035989,            0.087759,             0.12385,            0.038642,           0.0088318,           0.0088318,           0.0088318
                  61,            0.089898,             0.17479,            0.036389,             0.51034,             0.11628,            0.037796,           0.0094188,             0.08261,             0.11738,            0.037273,            0.008812,            0.008812,            0.008812
                  62,            0.091507,              0.1811,            0.037081,             0.51723,             0.10271,            0.036339,           0.0093183,             0.08451,             0.11752,            0.037659,           0.0087922,           0.0087922,           0.0087922
                  63,            0.090366,             0.17868,            0.035897,            0.017911,             0.29803,             0.03802,           0.0086786,            0.081009,             0.11529,            0.036546,           0.0087724,           0.0087724,           0.0087724
                  64,            0.089099,             0.16992,            0.037464,            0.019509,             0.31087,            0.037448,           0.0091115,            0.080641,             0.11519,            0.036434,           0.0087526,           0.0087526,           0.0087526
                  65,            0.089526,              0.1646,            0.036245,             0.53722,            0.054264,            0.043104,            0.010027,            0.082136,             0.11403,            0.036601,           0.0087328,           0.0087328,           0.0087328
                  66,            0.089669,             0.18116,            0.037198,             0.78622,            0.052326,             0.10702,            0.022845,            0.080676,             0.11474,            0.036263,            0.008713,            0.008713,            0.008713
                  67,            0.088615,             0.16307,            0.035124,             0.78273,            0.050388,            0.069109,            0.016272,            0.081307,             0.11284,            0.036248,           0.0086932,           0.0086932,           0.0086932
                  68,            0.087477,             0.16983,            0.034374,             0.78479,            0.065891,            0.048465,            0.012063,            0.083278,             0.11089,            0.036057,           0.0086734,           0.0086734,           0.0086734
                  69,            0.087755,              0.1575,            0.035799,            0.041407,              0.3519,            0.045392,            0.011746,            0.077516,             0.11416,            0.036721,           0.0086536,           0.0086536,           0.0086536
                  70,            0.089134,             0.17832,            0.035812,          0.00025054,            0.011628,          0.00014893,          4.9364e-05,             0.10582,             0.10145,            0.044826,           0.0086338,           0.0086338,           0.0086338
                  71,            0.087989,             0.15378,             0.03538,            0.049355,             0.33066,            0.045664,            0.013904,            0.077202,             0.11639,            0.036132,            0.008614,            0.008614,            0.008614
                  72,            0.087499,              0.1764,            0.035159,            0.084149,             0.31084,            0.063797,            0.016114,            0.077328,             0.11253,            0.035377,           0.0085942,           0.0085942,           0.0085942
                  73,            0.085641,             0.16012,            0.036771,             0.31395,             0.11713,            0.063385,            0.014662,            0.078922,             0.11055,            0.035323,           0.0085744,           0.0085744,           0.0085744
                  74,            0.090148,             0.16292,            0.034354,            0.036262,             0.36923,            0.054913,            0.012883,            0.077624,             0.11335,            0.034964,           0.0085546,           0.0085546,           0.0085546
                  75,            0.085453,             0.14723,            0.034716,            0.034546,             0.46537,            0.056093,            0.012956,            0.076532,              0.1124,            0.035752,           0.0085348,           0.0085348,           0.0085348
                  76,            0.085934,             0.16432,            0.035254,            0.052247,             0.33975,            0.053222,            0.011845,            0.075514,             0.11148,            0.035957,            0.008515,            0.008515,            0.008515
                  77,            0.085825,             0.15589,            0.032769,            0.031193,             0.47696,            0.064541,             0.01575,            0.075403,             0.11469,            0.034268,           0.0084952,           0.0084952,           0.0084952
                  78,            0.085477,             0.15049,            0.036954,             0.30222,             0.14529,            0.063749,            0.015911,            0.075827,             0.11294,            0.034115,           0.0084754,           0.0084754,           0.0084754
